Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
537,Arabica,cqi taiwan icp cqi台灣合作夥伴,Ethiopia,-,2000,Guji,250,60 kg,2016,"February 26th, 2016",Ethiopian Heirlooms,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.0,1,0.0,Bluish-Green,20,m,2000.0,2000.0,2000.0
538,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,佐佑品咖啡莊園,775,台東太麻里,11,2 kg,2014,"September 7th, 2015",Typica,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,10.0,7.58,82.92,0.0,0,0.0,Green,9,m,775.0,775.0,775.0
539,Arabica,renee a. perrine,Philippines,kalugmanan agri development corp.,1200 masl,"bukidnon, mindanao, philppines",250,2 kg,2015,"July 31st, 2015",Other,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.92,0.11,0,0.0,Blue-Green,1,m,1200.0,1200.0,1200.0
540,Arabica,zarah zamora perez,Philippines,"several, bukidnon, mindanao, philippines",1600 + meters above sea level,asia pacific,4,2 kg,2014,"July 21st, 2015",Other,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,7.42,82.92,0.0,0,0.0,Bluish-Green,0,m,1600.0,1600.0,1600.0
541,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,pinzoneno,1059,cuarenteño,11,2 kg,2015,"July 14th, 2015",Typica,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.92,0.13,0,0.0,Blue-Green,3,m,1059.0,1059.0,1059.0
542,Arabica,andrew bowman,Mexico,fiech (mixed producers),1300 meters,chiapas,275,2 kg,2015,"June 11th, 2015",Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,82.92,0.12,2,0.0,Bluish-Green,8,m,1300.0,1300.0,1300.0
543,Arabica,expocaccer coop dos cafeic do cerrado ltda,Brazil,fazenda pantano,11000 metros,cerrado,300,2 kg,2014/2015,"August 15th, 2014",Moka Peaberry,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,Green,16,m,11000.0,11000.0,11000.0
544,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,1400-1900,eastern,1,60 kg,2013,"June 27th, 2014",SL14,Washed / Wet,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,7.58,82.92,0.12,0,0.0,Green,0,m,1400.0,1900.0,1650.0
545,Arabica,nyapea coffee farmers association,Uganda,nyapea coffee farmers,1400,west nile,1,60 kg,2013,"June 27th, 2014",SL14,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.92,0.12,0,0.0,Green,4,m,1400.0,1400.0,1400.0
546,Arabica,juan luis alvarado romero,Guatemala,finca medina,1500 msnm,antigua,250,69 kg,2014,"April 3rd, 2014",Bourbon,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,82.92,0.1,0,0.0,Green,1,m,1500.0,1500.0,1500.0
547,Arabica,juan luis alvarado romero,Guatemala,finca medina,1500 msnm,antigua,26,69 kg,2014,"March 7th, 2014",Caturra,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.92,0.1,0,0.0,Green,2,m,1500.0,1500.0,1500.0
548,Arabica,rob tuttle,Guatemala,,,,1,2 kg,2012,"December 27th, 2013",,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,7.75,82.92,0.1,0,0.0,Green,4,m,,,
549,Arabica,racafe & cia s.c.a,Colombia,,1800 - 2000,huila,250,70 kg,2013,"September 13th, 2013",Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,Green,2,m,1800.0,2000.0,1900.0
550,Arabica,exportadora de cafe condor s.a,Colombia,,1750 msnm,huila,250,70 kg,2013,"March 20th, 2013",Caturra,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,7.67,82.92,0.0,0,0.0,Bluish-Green,0,m,1750.0,1750.0,1750.0
551,Arabica,juan luis alvarado romero,Guatemala,finca los cerros y anexos,5440-5760 metros,huehuetenango,250,69 kg,2013,"March 11th, 2013",Bourbon,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,82.92,0.11,0,0.0,Green,2,ft,1658.112,1755.648,1706.88
552,Arabica,olam agro colombia,Colombia,,1450,antioquia,250,70 kg,2013,"January 22nd, 2013",Other,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.5,82.92,0.11,3,0.0,Green,5,m,1450.0,1450.0,1450.0
553,Arabica,maria guadalupe gomez anzo,Mexico,el regalito,1248,petatlan,15,1 kg,2012,"July 26th, 2012",Typica,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,82.92,0.1,0,0.0,Green,4,m,1248.0,1248.0,1248.0
554,Arabica,royal base corporation,Vietnam,"apollo co., ltd.",1040m,don duong,1,2 kg,2012,"July 20th, 2012",Other,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10.0,10.0,10.0,7.67,82.92,0.0,0,0.0,None,17,m,1040.0,1040.0,1040.0
555,Arabica,veronica lopez castillejos,Mexico,el jabali,1400 m,colima,100,1 kg,2012,"March 5th, 2012",Typica,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,82.92,0.14,1,0.0,Green,4,m,1400.0,1400.0,1400.0
556,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,8,100 lbs,2012,"February 23rd, 2012",Hawaiian Kona,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,10.0,10.0,10.0,7.5,82.92,0.1,0,0.0,Green,0,ft,,,
557,Arabica,racafe & cia s.c.a,Colombia,,1050 - 1850 msnm,cauca,250,70 kg,Abril - Julio /2011,"July 19th, 2011",,,7.5,7.75,7.33,7.75,7.08,7.83,10.0,10.0,10.0,7.67,82.92,0.15,0,0.0,,0,m,1050.0,1850.0,1450.0
